record_id,date,time,season,month,day_of_week,temperature,pressure,humidity,wind_speed,weather_condition
6.0,2022-01-01,11:00,Winter,1.0,Saturday,24.7,1017.3,37.4,9.1,Fog
1.0,2022-01-01,17:00,Winter,1.0,Saturday,21.7,1022.8,56.9,14.0,Clear
3.0,2022-01-01,19:00,Winter,1.0,Saturday,16.2,1010.2,48.6,12.2,Clear
4.0,2022-01-01,19:00,Winter,1.0,Saturday,19.5,1028.7,45.2,14.4,Clear
5.0,2022-01-01,20:00,Winter,1.0,Saturday,16.7,1022.8,47.5,8.3,Clear
2.0,2022-01-01,21:00,Winter,1.0,Saturday,12.9,1023.3,61.8,14.6,Cloudy
12.0,2022-01-02,02:00,Winter,1.0,Sunday,12.8,1015.1,58.1,8.2,Clear
8.0,2022-01-02,13:00,Winter,1.0,Sunday,22.0,1022.6,55.5,9.149999999999999,Cloudy
9.0,2022-01-02,16:00,Winter,1.0,Sunday,19.7,1021.5,56.0,10.1,Partly Cloudy
7.0,2022-01-02,18:00,Winter,1.0,Sunday,22.2,1022.4,44.0,8.8,Partly Cloudy
11.0,2022-01-02,20:00,Winter,1.0,Sunday,16.9,1011.0,65.7,11.1,Fog
10.0,2022-01-02,23:00,Winter,1.0,Sunday,9.2,1022.3,63.2,20.6,Cloudy
14.0,2022-01-03,06:00,Winter,1.0,Monday,22.0,1015.7,52.0,16.35,Clear
16.0,2022-01-03,11:00,Winter,1.0,Monday,24.1,1016.3,45.1,12.1,Clear
15.0,2022-01-03,16:00,Winter,1.0,Monday,21.5,1011.2,46.6,11.0,Haze
13.0,2022-01-03,22:00,Winter,1.0,Monday,16.6,1023.9,32.4,13.6,Fog
17.0,2022-01-04,08:00,Winter,1.0,Tuesday,19.1,1017.0,51.7,11.1,Clear
18.0,2022-01-04,14:00,Winter,1.0,Tuesday,28.2,1019.3,44.1,9.7,Clear
23.0,2022-01-05,07:00,Winter,1.0,Wednesday,19.2,1023.6,59.0,10.9,Haze
21.0,2022-01-05,12:00,Winter,1.0,Wednesday,26.6,1015.4,52.7,12.1,Clear
19.0,2022-01-05,17:00,Winter,1.0,Wednesday,19.9,1022.1,51.8,13.6,Haze
20.0,2022-01-05,20:00,Winter,1.0,Wednesday,10.0,1019.0,57.8,28.0,Clear
22.0,2022-01-05,20:00,Winter,1.0,Wednesday,16.5,1013.9,45.2,17.7,Haze
24.0,2022-01-06,13:00,Winter,1.0,Thursday,25.9,1016.6,35.7,13.2,Haze
27.0,2022-01-07,06:00,Winter,1.0,Friday,16.1,1018.0,30.7,17.1,Clear
25.0,2022-01-07,07:00,Winter,1.0,Friday,19.0,1016.9,71.2,9.6,Partly Cloudy
30.0,2022-01-07,10:00,Winter,1.0,Friday,25.2,1016.0,65.25,12.4,Haze
